,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,83,178,10,amsterdam,11,polish,1,322564
1,218,237,8,amsterdam,11,polish,1,322564
2,658,180,7,amsterdam,11,polish,1,322564
3,117,79,4,amsterdam,11,polish,1,322564
4,157,301,20,amsterdam,11,polish,1,322564
5,140,154,4,amsterdam,11,polish,1,322564
6,52,177,9,amsterdam,11,polish,1,322564
7,346,241,11,amsterdam,11,polish,1,322564
8,417,180,2,amsterdam,11,polish,1,322564
9,628,153,6,amsterdam,11,polish,1,322564
10,891,124,6,amsterdam,11,polish,1,322564
11,679,153,1,amsterdam,11,polish,1,322564
12,657,178,10,amsterdam,11,polish,1,322564
13,465,332,16,amsterdam,11,polish,1,322564
14,585,76,12,amsterdam,11,polish,1,322564
15,778,110,0,amsterdam,11,polish,1,322564
16,430,160,24,amsterdam,11,polish,1,322564
17,253,321,19,amsterdam,11,polish,1,322564
18,264,81,0,amsterdam,11,polish,1,322564
19,581,151,5,amsterdam,11,polish,1,322564
20,234,177,6,amsterdam,11,polish,1,322564
21,88,133,0,amsterdam,11,polish,1,322564
22,603,290,13,amsterdam,11,polish,1,322564
23,867,150,0,amsterdam,11,polish,1,322564
24,680,153,0,amsterdam,11,polish,1,322564
25,921,93,10,amsterdam,11,polish,1,322564
26,10,154,2,amsterdam,11,polish,1,322564
27,224,145,20,amsterdam,11,polish,1,322564
28,715,177,8,amsterdam,11,polish,1,322564
29,762,177,11,amsterdam,11,polish,1,322564
30,517,117,10,amsterdam,11,polish,1,322564
31,193,150,6,amsterdam,11,polish,1,322564
32,375,107,0,amsterdam,11,polish,1,322564
33,303,215,8,amsterdam,11,polish,1,322564
34,783,101,0,amsterdam,11,polish,1,322564
35,706,128,0,amsterdam,11,polish,1,322564
36,892,229,8,amsterdam,11,polish,1,322564
37,917,335,16,amsterdam,11,polish,1,322564
38,967,80,6,amsterdam,11,polish,1,322564
39,777,182,7,amsterdam,11,polish,1,322564
40,604,131,8,amsterdam,11,polish,1,322564
41,835,104,33,amsterdam,11,polish,1,322564
42,878,110,10,amsterdam,11,polish,1,322564
43,821,111,8,amsterdam,11,polish,1,322564
44,971,180,10,amsterdam,11,polish,1,322564
45,387,337,11,amsterdam,11,polish,1,322564
46,172,133,5,amsterdam,11,polish,1,322564
47,779,211,13,amsterdam,11,polish,1,322564
48,475,107,0,amsterdam,11,polish,1,322564
49,567,93,2,amsterdam,11,polish,1,322564
50,12,80,0,amsterdam,11,polish,1,322564
51,103,183,29,amsterdam,11,polish,1,322564
52,752,333,13,amsterdam,11,polish,1,322564
53,307,128,8,amsterdam,11,polish,1,322564
54,77,340,11,amsterdam,11,polish,1,322564
55,317,199,15,amsterdam,11,polish,1,322564
56,807,330,11,amsterdam,11,polish,1,322564
57,587,154,0,amsterdam,11,polish,1,322564
58,760,225,10,amsterdam,11,polish,1,322564
59,750,114,9,amsterdam,11,polish,1,322564
60,505,110,6,amsterdam,11,polish,1,322564
61,925,126,4,amsterdam,11,polish,1,322564
62,16,180,0,amsterdam,11,polish,1,322564
63,101,329,12,amsterdam,11,polish,1,322564
64,441,215,15,amsterdam,11,polish,1,322564
65,548,232,35,amsterdam,11,polish,1,322564
66,809,330,13,amsterdam,11,polish,1,322564
67,352,101,28,amsterdam,11,polish,1,322564
68,366,80,0,amsterdam,11,polish,1,322564
69,933,153,0,amsterdam,11,polish,1,322564
70,788,110,0,amsterdam,11,polish,1,322564
71,311,104,19,amsterdam,11,polish,1,322564
72,223,153,0,amsterdam,11,polish,1,322564
73,429,253,29,amsterdam,11,polish,1,322564
74,442,194,15,amsterdam,11,polish,1,322564
75,685,332,10,amsterdam,11,polish,1,322564
76,676,89,4,amsterdam,11,polish,1,322564
77,86,113,0,amsterdam,11,polish,1,322564
78,880,131,0,amsterdam,11,polish,1,322564
79,594,278,17,amsterdam,11,polish,1,322564
80,806,272,26,amsterdam,11,polish,1,322564
81,960,337,12,amsterdam,11,polish,1,322564
82,85,128,5,amsterdam,11,polish,1,322564
83,410,129,9,amsterdam,11,polish,1,322564
84,570,109,2,amsterdam,11,polish,1,322564
85,630,156,0,amsterdam,11,polish,1,322564
86,166,121,9,amsterdam,11,polish,1,322564
87,902,213,15,amsterdam,11,polish,1,322564
88,22,177,6,amsterdam,11,polish,1,322564
89,256,79,0,amsterdam,11,polish,1,322564
90,9,86,0,amsterdam,11,polish,1,322564
91,557,113,0,amsterdam,11,polish,1,322564
92,743,169,10,amsterdam,11,polish,1,322564
93,214,239,8,amsterdam,11,polish,1,322564
94,146,215,13,amsterdam,11,polish,1,322564
95,82,110,7,amsterdam,11,polish,1,322564
96,158,180,11,amsterdam,11,polish,1,322564
97,969,85,4,amsterdam,11,polish,1,322564
98,269,154,0,amsterdam,11,polish,1,322564
99,507,128,9,amsterdam,11,polish,1,322564
100,588,176,0,amsterdam,11,polish,1,322564
101,105,177,10,amsterdam,11,polish,1,322564
102,515,337,12,amsterdam,11,polish,1,322564
103,724,301,19,amsterdam,11,polish,1,322564
104,529,275,11,amsterdam,11,polish,1,322564
105,625,215,13,amsterdam,11,polish,1,322564
106,460,84,0,amsterdam,11,polish,1,322564
107,918,342,17,amsterdam,11,polish,1,322564
108,482,81,0,amsterdam,11,polish,1,322564
109,455,178,14,amsterdam,11,polish,1,322564
110,510,359,20,amsterdam,11,polish,1,322564
111,373,146,5,amsterdam,11,polish,1,322564
112,111,148,6,amsterdam,11,polish,1,322564
113,211,150,0,amsterdam,11,polish,1,322564
114,660,175,7,amsterdam,11,polish,1,322564
115,674,136,8,amsterdam,11,polish,1,322564
116,493,178,5,amsterdam,11,polish,1,322564
117,45,178,4,amsterdam,11,polish,1,322564
118,369,76,0,amsterdam,11,polish,1,322564
119,34,80,0,amsterdam,11,polish,1,322564
120,591,319,18,amsterdam,11,polish,1,322564
121,450,174,37,amsterdam,11,polish,1,322564
122,916,136,9,amsterdam,11,polish,1,322564
123,745,105,8,amsterdam,11,polish,1,322564
124,163,177,15,amsterdam,11,polish,1,322564
125,212,239,8,amsterdam,11,polish,1,322564
126,283,116,9,amsterdam,11,polish,1,322564
127,230,153,4,amsterdam,11,polish,1,322564
128,271,83,0,amsterdam,11,polish,1,322564
129,326,290,19,amsterdam,11,polish,1,322564
130,627,107,0,amsterdam,11,polish,1,322564
131,196,111,0,amsterdam,11,polish,1,322564
132,945,182,9,amsterdam,11,polish,1,322564
0,880,126,0,amsterdam,10,hungarian,0,322565
1,373,140,4,amsterdam,10,hungarian,0,322565
2,585,73,11,amsterdam,10,hungarian,0,322565
3,685,398,9,amsterdam,10,hungarian,0,322565
4,557,109,0,amsterdam,10,hungarian,0,322565
5,482,78,0,amsterdam,10,hungarian,0,322565
6,111,142,6,amsterdam,10,hungarian,0,322565
7,835,100,32,amsterdam,10,hungarian,0,322565
8,916,131,8,amsterdam,10,hungarian,0,322565
9,9,82,0,amsterdam,10,hungarian,0,322565
10,85,123,4,amsterdam,10,hungarian,0,322565
11,603,279,11,amsterdam,10,hungarian,0,322565
12,706,123,0,amsterdam,10,hungarian,0,322565
13,211,144,0,amsterdam,10,hungarian,0,322565
14,715,170,6,amsterdam,10,hungarian,0,322565
15,925,121,3,amsterdam,10,hungarian,0,322565
16,921,89,10,amsterdam,10,hungarian,0,322565
17,283,112,8,amsterdam,10,hungarian,0,322565
18,88,128,0,amsterdam,10,hungarian,0,322565
19,326,279,17,amsterdam,10,hungarian,0,322565
20,510,345,18,amsterdam,10,hungarian,0,322565
21,960,324,10,amsterdam,10,hungarian,0,322565
22,223,147,0,amsterdam,10,hungarian,0,322565
23,933,147,0,amsterdam,10,hungarian,0,322565
24,157,289,18,amsterdam,10,hungarian,0,322565
25,676,85,4,amsterdam,10,hungarian,0,322565
26,788,106,0,amsterdam,10,hungarian,0,322565
27,105,170,10,amsterdam,10,hungarian,0,322565
28,809,317,11,amsterdam,10,hungarian,0,322565
29,762,170,10,amsterdam,10,hungarian,0,322565
30,505,106,5,amsterdam,10,hungarian,0,322565
31,303,207,6,amsterdam,10,hungarian,0,322565
32,971,173,10,amsterdam,10,hungarian,0,322565
33,234,170,5,amsterdam,10,hungarian,0,322565
34,902,205,14,amsterdam,10,hungarian,0,322565
35,375,103,0,amsterdam,10,hungarian,0,322565
36,779,232,11,amsterdam,10,hungarian,0,322565
37,442,186,13,amsterdam,10,hungarian,0,322565
38,517,126,8,amsterdam,10,hungarian,0,322565
39,269,148,0,amsterdam,10,hungarian,0,322565
40,745,101,7,amsterdam,10,hungarian,0,322565
41,475,103,0,amsterdam,10,hungarian,0,322565
42,460,81,0,amsterdam,10,hungarian,0,322565
43,45,171,2,amsterdam,10,hungarian,0,322565
44,679,147,0,amsterdam,10,hungarian,0,322565
45,311,100,18,amsterdam,10,hungarian,0,322565
46,264,77,0,amsterdam,10,hungarian,0,322565
47,743,168,9,amsterdam,10,hungarian,0,322565
48,214,288,7,amsterdam,10,hungarian,0,322565
49,548,223,31,amsterdam,10,hungarian,0,322565
50,450,167,35,amsterdam,10,hungarian,0,322565
51,352,97,27,amsterdam,10,hungarian,0,322565
52,627,103,0,amsterdam,10,hungarian,0,322565
53,86,109,0,amsterdam,10,hungarian,0,322565
54,212,288,7,amsterdam,10,hungarian,0,322565
55,158,173,10,amsterdam,10,hungarian,0,322565
56,218,286,7,amsterdam,10,hungarian,0,322565
57,680,147,0,amsterdam,10,hungarian,0,322565
58,807,396,10,amsterdam,10,hungarian,0,322565
59,806,261,24,amsterdam,10,hungarian,0,322565
60,581,145,3,amsterdam,10,hungarian,0,322565
61,891,119,5,amsterdam,10,hungarian,0,322565
62,256,76,0,amsterdam,10,hungarian,0,322565
63,658,173,5,amsterdam,10,hungarian,0,322565
64,628,147,3,amsterdam,10,hungarian,0,322565
65,307,123,8,amsterdam,10,hungarian,0,322565
66,493,171,4,amsterdam,10,hungarian,0,322565
67,317,191,14,amsterdam,10,hungarian,0,322565
68,103,176,27,amsterdam,10,hungarian,0,322565
69,821,107,7,amsterdam,10,hungarian,0,322565
70,591,307,16,amsterdam,10,hungarian,0,322565
71,594,328,14,amsterdam,10,hungarian,0,322565
72,12,76,0,amsterdam,10,hungarian,0,322565
73,752,320,11,amsterdam,10,hungarian,0,322565
74,660,168,6,amsterdam,10,hungarian,0,322565
75,604,126,7,amsterdam,10,hungarian,0,322565
76,918,329,15,amsterdam,10,hungarian,0,322565
77,83,171,10,amsterdam,10,hungarian,0,322565
78,146,207,12,amsterdam,10,hungarian,0,322565
79,867,144,0,amsterdam,10,hungarian,0,322565
80,724,289,17,amsterdam,10,hungarian,0,322565
81,967,76,2,amsterdam,10,hungarian,0,322565
82,430,154,20,amsterdam,10,hungarian,0,322565
83,10,148,0,amsterdam,10,hungarian,0,322565
84,163,184,12,amsterdam,10,hungarian,0,322565
85,253,309,17,amsterdam,10,hungarian,0,322565
86,417,173,0,amsterdam,10,hungarian,0,322565
87,82,106,5,amsterdam,10,hungarian,0,322565
88,630,150,0,amsterdam,10,hungarian,0,322565
89,917,322,14,amsterdam,10,hungarian,0,322565
90,878,106,8,amsterdam,10,hungarian,0,322565
91,196,107,0,amsterdam,10,hungarian,0,322565
92,783,97,0,amsterdam,10,hungarian,0,322565
93,429,243,27,amsterdam,10,hungarian,0,322565
94,101,316,10,amsterdam,10,hungarian,0,322565
95,778,106,0,amsterdam,10,hungarian,0,322565
96,77,396,10,amsterdam,10,hungarian,0,322565
97,588,169,0,amsterdam,10,hungarian,0,322565
98,657,200,9,amsterdam,10,hungarian,0,322565
99,387,406,10,amsterdam,10,hungarian,0,322565
100,22,170,4,amsterdam,10,hungarian,0,322565
101,117,89,4,amsterdam,10,hungarian,0,322565
102,366,76,0,amsterdam,10,hungarian,0,322565
103,369,73,0,amsterdam,10,hungarian,0,322565
104,52,170,8,amsterdam,10,hungarian,0,322565
105,529,304,9,amsterdam,10,hungarian,0,322565
106,969,82,3,amsterdam,10,hungarian,0,322565
107,166,134,8,amsterdam,10,hungarian,0,322565
108,172,128,4,amsterdam,10,hungarian,0,322565
109,271,79,0,amsterdam,10,hungarian,0,322565
110,507,123,8,amsterdam,10,hungarian,0,322565
111,515,324,10,amsterdam,10,hungarian,0,322565
112,567,89,1,amsterdam,10,hungarian,0,322565
113,760,216,8,amsterdam,10,hungarian,0,322565
114,945,175,7,amsterdam,10,hungarian,0,322565
115,34,76,0,amsterdam,10,hungarian,0,322565
116,777,175,6,amsterdam,10,hungarian,0,322565
117,455,171,13,amsterdam,10,hungarian,0,322565
118,674,131,6,amsterdam,10,hungarian,0,322565
119,570,105,0,amsterdam,10,hungarian,0,322565
120,750,110,9,amsterdam,10,hungarian,0,322565
121,346,232,10,amsterdam,10,hungarian,0,322565
122,587,148,0,amsterdam,10,hungarian,0,322565
123,625,236,11,amsterdam,10,hungarian,0,322565
124,224,139,18,amsterdam,10,hungarian,0,322565
125,140,180,4,amsterdam,10,hungarian,0,322565
126,892,271,7,amsterdam,10,hungarian,0,322565
127,16,173,0,amsterdam,10,hungarian,0,322565
128,410,124,8,amsterdam,10,hungarian,0,322565
129,193,144,6,amsterdam,10,hungarian,0,322565
130,441,207,14,amsterdam,10,hungarian,0,322565
131,230,178,4,amsterdam,10,hungarian,0,322565
132,465,319,14,amsterdam,10,hungarian,0,322565
0,82,108,28,amsterdam,24,dutch,1,322566
1,515,276,56,amsterdam,24,dutch,1,322566
2,22,161,26,amsterdam,24,dutch,1,322566
3,193,147,30,amsterdam,24,dutch,1,322566
4,604,110,23,amsterdam,24,dutch,1,322566
5,809,253,67,amsterdam,24,dutch,1,322566
6,680,150,14,amsterdam,24,dutch,1,322566
7,676,71,12,amsterdam,24,dutch,1,322566
8,807,262,62,amsterdam,24,dutch,1,322566
9,674,119,32,amsterdam,24,dutch,1,322566
10,441,181,41,amsterdam,24,dutch,1,322566
11,85,103,24,amsterdam,24,dutch,1,322566
12,482,80,11,amsterdam,24,dutch,1,322566
13,918,295,60,amsterdam,24,dutch,1,322566
14,788,108,22,amsterdam,24,dutch,1,322566
15,86,111,34,amsterdam,24,dutch,1,322566
16,891,103,13,amsterdam,24,dutch,1,322566
17,591,243,69,amsterdam,24,dutch,1,322566
18,969,75,22,amsterdam,24,dutch,1,322566
19,387,238,61,amsterdam,24,dutch,1,322566
20,762,161,26,amsterdam,24,dutch,1,322566
21,570,107,26,amsterdam,24,dutch,1,322566
22,83,156,28,amsterdam,24,dutch,1,322566
23,806,266,68,amsterdam,24,dutch,1,322566
24,269,151,34,amsterdam,24,dutch,1,322566
25,101,270,55,amsterdam,24,dutch,1,322566
26,505,101,26,amsterdam,24,dutch,1,322566
27,916,107,31,amsterdam,24,dutch,1,322566
28,16,176,26,amsterdam,24,dutch,1,322566
29,264,79,12,amsterdam,24,dutch,1,322566
30,821,107,28,amsterdam,24,dutch,1,322566
31,706,125,20,amsterdam,24,dutch,1,322566
32,778,108,17,amsterdam,24,dutch,1,322566
33,103,180,57,amsterdam,24,dutch,1,322566
34,212,198,39,amsterdam,24,dutch,1,322566
35,517,114,34,amsterdam,24,dutch,1,322566
36,867,141,32,amsterdam,24,dutch,1,322566
37,679,150,32,amsterdam,24,dutch,1,322566
38,945,140,44,amsterdam,24,dutch,1,322566
39,450,170,66,amsterdam,24,dutch,1,322566
